Package,Name,Hyperparameters,Learning time
04-sklearn.naive_bayes,GaussianNB,01-Default,0.0
05-sklearn.tree,Decision Tree,02-After tuning,0.0
05-sklearn.tree,Decision Tree,03-Random Undersampling,0.0
05-sklearn.tree,Decision Tree,04-Random Oversampling,0.0
05-sklearn.tree,Decision Tree,05-NearMissV1 Undersampling,0.0
06-sklearn.ensemble,RandomForest,02-After tuning,5.0
06-sklearn.ensemble,RandomForest,03-Random Undersampling,8.0
06-sklearn.ensemble,RandomForest,04-Random Oversampling,10.0
06-sklearn.ensemble,RandomForest,05-NearMissV1 Undersampling,7.0
07-sklearn.ensemble,Bagging,02-After tuning,140.0
07-sklearn.ensemble,Bagging,03-Random Undersampling,47.0
07-sklearn.ensemble,Bagging,04-Random Oversampling,119.0
07-sklearn.ensemble,Bagging,05-NearMissV1 Undersampling,329.0
